gene	Mesenchymal.progenitor_2	Mesenchymal.progenitor_8	Mesothelial_4	T.NK_20	Mesothelial_18	T.NK_11	Mesothelial_1	T.NK_22	T.NK_3	Monocyte.Macrophage_15	Mesothelial_13	T.NK_17	T.NK_19	B.cells_16	Endothelial_9	Neutrophils_5	Noise_7	Tumor_HGSOC_14	Mast.cells_25	EMT_24	T.NK_23	Lymphatic.endothelial_6	Plasma_21	T.NK_12	Plasmacytoid.dendritic_10
AIDA	0.2437	0.6228	0.1134	0.0457	0.2646	0.0268	0.2702	0.0191	0.0658	0.119	0.1006	0.0467	0.0164	0.2957	0.3947	0.0027	0.0682	0.0327	0.0168	0.1598	0.0247	0.3175	0	8e-04	0.4951
BROX	0.0014	5e-04	2e-04	0.0138	0.0043	0.0079	0.0015	0.0124	0.0113	0.0557	0.0031	0.0013	0.007	0.0226	0.0064	0.006	0.003	0.0247	0	0.0017	0.0031	0.0413	0.0028	0.0012	0.0024
DISP1	6e-04	0.0013	0.0229	0	0.1639	6e-04	0.2598	2e-04	0	0	0.1247	0	0	0	6e-04	8e-04	0.0267	5e-04	0	0.0128	0	0	0	0	0
TLR5	0	0	0	0	0	0	0	0	0	0.0089	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SUSD4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAPN2	0.6551	0.9692	1.1042	0.5296	1.3135	0.4118	1.2766	0.6283	0.7214	0.4375	1.0765	0.439	0.4856	0.1968	0.4255	0.2311	0.6914	0.1597	0.3669	0.6037	0.4602	1.0413	0.1353	0.1149	0
TP53BP2	0.0285	0.0534	0.1186	0.2203	0.0676	0.151	0.0071	0.0665	0.4807	0.333	0.235	0.3068	0.1167	0.0383	0.2279	0.0347	0.0831	0.0726	0.2638	0.1238	0.2749	0.1524	0.0098	0.031	0.0537
FBXO28	1e-04	0	0	0	0	2e-04	0	0	0	8e-04	0	0	0	9e-04	6e-04	8e-04	0	0	0	0	0	0	0	4e-04	0.0024
DEGS1	0.2701	0.1251	0.0543	0.1676	0.0242	0.0694	0.0509	0.1015	0.2074	0.0603	0.0326	0.1527	0.0616	0.3179	0.0892	0.0134	0.0208	0.1057	0.211	0.1474	0.0994	0.6698	0.424	0.0069	0.0073
NVL	0	0	0	0	0	0	0	0.0019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CNIH4	0.3396	0.3583	0.0804	0.025	0.2252	0.0173	0.2587	0.0403	0.0587	0.163	0.0369	0.0205	0.0104	0.0089	0.1483	0.035	0.095	0.3264	0.0887	0.1052	0.0142	0.4254	0.0167	0.0085	0
WDR26	0.0184	0.0215	0.0089	0.3407	0.0239	0.2004	0.0028	0.194	0.1392	0.5158	0.1476	0.1785	0.2552	0.1219	0.2638	0.2712	0.0653	0.1103	0.1439	0.0729	0.0352	0.2286	0.0391	0.0931	0.5
CNIH3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNAH14	0	3e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0058	0	0	0	0	0	0	0
LBR	7e-04	0	0	0.3977	0	0.117	0	0.432	0.1163	0.1029	4e-04	0.1618	0.3913	0.2872	0.0899	0.7809	0.0237	0.0439	0.0072	0.0017	0.084	0.4349	0.0321	0.3843	0.5317
ENAH	0.0343	0.0262	0.0024	0	0.0354	0	1e-04	0	0	0	0.0249	0	0	0	0.0533	0.0019	0.0119	0.4052	0.0024	0.5768	0	0.0127	0	0	0
SRP9	0.6307	0.7339	0.343	0.6354	0.6737	0.5215	0.6771	0.6895	0.5591	0.4286	0.3446	0.619	0.8813	0.7171	0.7246	0.1303	0.4006	1.4367	0.5348	0.4265	0.8376	1	0.4575	0.6935	0.6561
EPHX1	1.9418	0.971	0.318	0.044	0.6863	0.0863	0.6096	0.0427	0.0887	0.1668	0.4479	0.0181	0.0139	0.0337	0.4531	0.0645	0.2196	0.2472	0.1535	0.3371	0.1019	1.4032	0.0167	0	0
TMEM63A	1e-04	0	0	0	0	0	0	2e-04	0	1e-04	0.0012	0	0	0	0.0013	0	0.003	9e-04	0	0	0.0019	0	0	0	0
PYCR2	2e-04	0	0	0	0	0	0	5e-04	0	3e-04	0	0	0	9e-04	0.0013	0	0	0.0046	0	0	0	0	0.0042	0	0
SDE2	3e-04	0	1e-04	0.0037	0	6e-04	0	0.0353	0.0028	0.1139	0	0	0.001	0.1155	0.0327	0.0082	0	0.0015	0.0072	4e-04	0.0327	0.0794	0.0056	0.0012	0.2049
H3F3A	4.9232	5.835	4.447	6.636	4.9257	4.8604	5.1015	7.9823	7.2915	10.5053	3.566	6.6331	7.2458	11.6924	7.1932	16.6536	4.3947	10.6668	7.9952	4.2344	11.1235	9.1778	6.0879	4.6335	9.7268
ACBD3	0.14	0.2176	0.012	0.0993	0.0838	0.0525	0.0464	0.0993	0.0396	0.077	0.0513	0.0982	0.2205	0.2032	0.2715	0.0082	0.0386	0.3498	0.482	0.1308	0.0649	0.2825	0.8201	0.0121	0.3805
MIXL1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LIN9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PARP1	0.0013	0.0028	0.0247	0.357	0.0509	0.1203	0.0434	0.3097	0.2528	0.1325	0.0175	0.2872	0.7269	0.821	0.0815	0.0057	0.0564	0.5623	0.2494	0.0195	0.2607	0.1524	0.2803	0.5048	0.1927
STUM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8e-04	0	0	0	0	0
ITPKB	0	0	0	0.0585	0	0.0922	0	0.0257	0.1646	0.0016	0	0.2723	0.076	0.0102	0.0039	5e-04	0.0148	0.0012	0	0	0.5034	0.019	0	0.0157	0.0024
PSEN2	0	0	0	0	0	0	0	0	0	5e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COQ8A	2e-04	0	0.0028	0	0.0716	0	0.0739	0	0	0.0063	0.0043	0	0	0	0	0	0.0089	7e-04	0	0.0025	0	0	0	0	0
CDC42BPA	0.0375	0.1117	0	0	0.0019	0	3e-04	0	0	0.0011	8e-04	0	0	0	0.2914	0	0	0.0135	0	0.0273	0	0.4063	0	0	0
ZNF678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNAP47	0	0	0	0.0021	0	0.0013	0	0.0053	0.0054	0	4e-04	0	0.007	0	0	3e-04	0	0.0038	0	4e-04	0.0019	0	0	0.1484	0
JMJD4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WNT9A	5e-04	0	0	0	0	0	0	0	0	0	4e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARF1	1.0774	1.1244	1.1241	1.2971	1.18	1.1084	1.2399	1.325	1.3598	1.4061	1.066	1.1556	1.142	1.1738	1.4589	0.8194	0.8872	1.6025	1.3213	1.1039	1.2384	1.5206	1.3849	1.077	1.8878
C1orf35	2e-04	3e-04	3e-04	0.0025	3e-04	2e-04	0	0.005	0.0017	0.0011	0.0012	1e-04	0.002	4e-04	0.0032	0	0.0059	0.0675	0.0096	0	0	0.0063	0	0.0036	0.0659
GUK1	1.0475	1.7117	1.1733	2.1313	1.3483	1.3018	1.3744	2.0346	1.7436	1.3001	0.6888	1.6673	1.6038	1.2842	3.6252	0.8104	1.3264	2.0361	1.4149	1.3441	1.3496	3.8254	2.5049	1.6927	2.9976
GJC2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0116	0	0	3e-04	0	0	0	0.5841	0	0	0
IBA57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0024
OBSCN	0	0	0	0	2e-04	0	0	0	0	0	0	0	0	0	0	0	0	2e-04	0	0	0	0	0	0	0
TRIM11	0	0	0	3e-04	0	0	0	0.004	0	3e-04	0	0	5e-04	0	0	0	0	0.0062	0	0	0	0	0	0	0
TRIM17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HIST3H2A	1e-04	0.0093	0	0	0	0	0	2e-04	0	0	4e-04	0	0	0	0	0	0	0.1136	0.0024	4e-04	0	0	0	0	0
HIST3H2BB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNF187	0.0513	0.0798	0.0035	0.0035	0.0673	0.0079	0.0615	0.0112	0.0011	0.0055	0.0043	3e-04	0.0794	0.006	0.0148	3e-04	0.0119	0.2068	0.0671	0.0166	6e-04	0.0381	0.0042	0.0137	0.0122
RHOU	0.4669	0.0567	0.41	0.0137	0.5844	0.0332	0.5856	0.0074	0.0168	0.3357	0.4545	0.0048	0.003	0.0017	0.7818	0.0188	0.1543	0.0918	0.0336	0.2965	0.0043	0.4063	0	4e-04	0
RAB4A	0.0853	0.0272	0.0013	0.0021	3e-04	7e-04	1e-04	0.0198	8e-04	0.0314	8e-04	0	0.002	0.0413	0.0282	0.0016	0.0148	0.3233	0.0024	0.0041	0.0093	0.0667	0.1311	8e-04	0.1415
CCSAP	0	0	0	0	0	0	0	0	0	0.0028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NUP133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0063	0	0	0
ABCB10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAF5L	0	3e-04	0	0	0	0	0	0	1e-04	4e-04	0	0	0	0	0	0	0	3e-04	0	8e-04	0	0.0063	0	0	0
URB2	1e-04	0	0	0	2e-04	0	0	0	0	0	0	0	0	0	0.0045	0	0	2e-04	0	8e-04	0	0	0.0014	0	0
GALNT2	0.0223	0.0036	2e-04	0.0011	0.0107	0.0035	0	0.0296	4e-04	0.0219	0.0012	0	0.0015	4e-04	0.018	0	0.003	0.0046	0.0096	0.0327	0.0043	0.0127	0.5174	0.0895	0.7341
COG2	0	0	0	1e-04	0	0	0	5e-04	0	8e-04	0	0	5e-04	0	0	0	0	3e-04	0	0	0	0	0	0	0
C1orf198	2e-04	0	1e-04	0	8e-04	0	0	0	0	0	4e-04	0	0	0	0	0	0	0.0223	0	0.0099	0	0.0127	0	0	0
TTC13	0	0	0	0	0	2e-04	0	0	0	0	0	0	0	0	6e-04	0	0	0	0	0	0	0	0	0	0
ARV1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3e-04	0	0	0	0.0032	0.0014	0	0
FAM89A	0.0016	0	0	0	0	0	0	0	0	5e-04	0	0	0	0	0.0937	0	0	7e-04	0	0.0025	0	0.4032	0	0	0
C1orf131	1e-04	3e-04	0	0	0	2e-04	0	0.0019	0	8e-04	0	0	0.001	0.0017	0	0	0	0.0012	0	4e-04	0	0.0063	0	0	0
GNPAT	0	0	0	0	0	0	0	0	0	5e-04	4e-04	0	0	9e-04	0	0	0	5e-04	0	4e-04	0	0.0032	0.0014	0	0
EXOC8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0019	0	0	0	0	0	0	0	0	0	0
SPRTN	0	0	0	0	0	0	0	3e-04	1e-04	1e-04	0	0	0	0	0.0045	0	0	2e-04	0	0	0	0.0032	0	0	0
EGLN1	0.0369	0.0254	0.0659	0.0012	0.0817	0.0026	0.0192	0.0064	0.0038	0.0314	0.0544	0.0015	0.0298	0.0026	0.2965	0.0727	0.003	0.0151	0.1823	0.0596	6e-04	0.0794	0	0.0024	0
TSNAX	0.0068	0.0039	5e-04	0.0032	0.0052	0.0073	0.0129	0.0793	0.0192	0.1298	0.0039	9e-04	0.0045	0.0354	0.0552	0.0311	0.0326	0.0987	0.3381	0.0054	0.0124	0.0349	0	8e-04	0.0098
DISC1	0	0	0	1e-04	0	9e-04	0	0	7e-04	0.0023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SIPA1L2	3e-04	0	0.024	0	0.0448	0	0.0023	0	0	0.0067	0.0408	0	0	0	0.0231	0.027	0.003	5e-04	0	0.0033	0	0	0	0	0
MAP10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NTPCR	0.0082	0	0	0	0.0029	0	0	0	0	1e-04	0	0	0	0	0.025	0	0	0.0033	0.0024	4e-04	0	0.127	0	0	0.0195
PCNX2	0	0	0	1e-04	0	6e-04	0	2e-04	1e-04	3e-04	0	0	0	0	0	0	0	7e-04	0	0	0	0	0	8e-04	0
MAP3K21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0074	0.0096	0	0	0	0	0	0
KCNK1	0.0017	0.0016	0.0012	0	0.033	0	1e-04	0	0	0	0.0066	0	0	0	6e-04	0	0.0059	0.0176	0	0.0219	0	0	0	0	0.022
COA6	7e-04	3e-04	0.002	0	0.0088	0	0.0166	9e-04	1e-04	0.0136	0.0062	1e-04	0.0015	9e-04	0.0058	8e-04	0.0148	0.5441	0.0144	0.0058	0	0.0032	0.0042	0.0028	0
TARBP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6e-04	0.0011	0	0.0238	0	0	0	0	0	0	0.439
IRF2BP2	0.6383	1.1332	0.0414	0.6082	0.0221	0.5347	0.0489	0.523	0.6841	0.9052	0.2385	0.851	0.3744	0.6723	0.7388	0.51	0.2611	0.7588	0.458	0.3246	0.8221	0.8222	0.2538	0.2	4.1049
TOMM20	1.1304	1.0018	1.8119	1.3244	1.8702	1.2158	2.0475	1.2337	1.7986	0.8315	1.3504	1.4682	1.2378	2.0822	1.2664	0.5651	1.2255	1.9286	1.3525	0.959	2.7993	1.5619	1.2078	0.9089	1.8195
RBM34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARID4B	0.6445	0.6513	0.7657	1.7921	0.5208	1.4028	0.6021	1.4815	1.7564	0.5738	0.9495	1.7151	1.6768	1.2003	1.3055	0.7588	0.7626	0.5457	0.9976	0.5495	1.8073	1.127	0.2943	1.3032	1.561
GGPS1	0	0	0	0	2e-04	0	0	0	0	0.0011	0	0	0	0	0.0013	0	0	0.0499	0	0	0	0	0	0	0
TBCE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9e-04	0	0	0	0	0	0	0
B3GALNT2	0.0164	0.0088	0	0	0	4e-04	0	0.0105	0	0.0043	0.0058	0	0.001	4e-04	0.0154	3e-04	0	0.0898	0	0.0323	0	0	0	8e-04	0.0073
GNG4	0	0	0	0	0	2e-04	0	0	0	0	0	0	0.0015	0	0	0	0	0.0021	0	4e-04	0	0	0	0.0206	0
LYST	0.0019	0	0.0011	0.8472	0	0.3666	2e-04	0.6112	0.0932	0.2584	0.0186	0.2023	0.7294	0.4048	1.2542	0.4922	0.0712	0.0144	0.2902	0.0186	0.0618	0.2984	0.0321	1.0919	0.0366
NID1	1.064	1.542	3e-04	0.0022	0	0.0083	0	0.0057	0.0061	0	0.019	6e-04	0.0025	0.0102	0.0507	0.0202	0.0623	0	0	0.1416	0.0426	0.1524	0	0	0
GPR137B	0	0	0	2e-04	0	0	0	2e-04	0	0.1622	0	0	5e-04	4e-04	0	0	0	0.0014	0	0	0	0	0	0.002	0
ERO1B	0.0154	0.006	0.0089	0.1735	0.0201	0.072	0.0012	0.1329	0.0975	0.0313	0.0361	0.0988	0.0194	0.1785	0.0122	3e-04	0.0089	0	0.0552	0.0054	0.0754	0.0222	0.1869	0.0044	0.7268
EDARADD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LGALS8	0.0019	0.0021	0.2002	0.0101	0.4287	0.0362	0.4536	0.0141	0.0271	0.0548	0.3563	0.0033	0.0144	0.0072	0.0988	0.0139	0.1128	0.0029	0.0671	0.0215	0.0704	0.1556	0	0.0145	0.0171
HEATR1	0	3e-04	0	0	3e-04	4e-04	0	2e-04	5e-04	1e-04	4e-04	0	0	0.0017	0.0051	0	0	9e-04	0.0024	0.0025	0.0198	0	0	0	0.5
ACTN2	0	0	0	0	0	0	0	0	0	0.0011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MTR	0.0242	0.0212	0.002	0.0098	0.0015	0.0099	0.0133	0.0057	0.0145	0.0062	0.0218	3e-04	0.002	0.0119	0.0045	0	0.0089	9e-04	0.0024	0.0228	0.0414	0.0476	0	0.0012	0.2171
RYR2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8e-04	0	0	0	0	0
FMN2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FH	1e-04	0	0	0	0.0059	0	0.0014	0	0	0.003	0	0	5e-04	0	0.0026	0	0	0.0925	0.0096	0.0037	0	0.0032	0.0056	4e-04	0.0024
OPN3	0	0	0	0	0	0	0	7e-04	0	0.077	0	0	0	0.0017	0	0	0	0	0	0	0	0	0.0014	0	1.6854
CHML	0	0	0	1e-04	0	0.0024	0	0.0019	1e-04	0.284	0.0019	1e-04	0	0.0094	6e-04	0.0019	0	0.0033	0.0072	8e-04	0	0	0.0014	0	2.3488
PLD5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEP170	0.0266	0.2801	2e-04	0	6e-04	0.0033	0	0	3e-04	0.4429	0.0035	0	0.001	0.121	0.0911	0.0082	0.0119	0.0029	0.0072	0.029	0.0019	0.3206	0.0014	0	0.0146
SDCCAG8	0.0309	0.0313	0.0073	0	0.0102	0.002	0.0655	0	1e-04	0.0754	0.0264	0	0	0.0136	0.0128	0.0014	0.0178	0.1492	0.0168	0.0273	0	0.054	0	8e-04	0
AKT3	0.0534	0.0192	6e-04	0.0271	0.002	0.0197	0.0021	0.0286	0.0588	3e-04	0.0206	0.025	0.0035	0.0085	0.5327	0	0.0059	0	0	0.0149	0.0488	0.181	0	4e-04	0.0024
ZBTB18	0	0	0	0	0	0	0	0	0	4e-04	0	0	0	0.0038	0.009	0.0033	0	0	0	0	0.0019	0	0.0014	0	0.6634
ADSS	0.001	0.0277	0.0034	0.4587	0.0258	0.0963	0.0046	0.4687	0.4778	0.0854	0.0047	0.2716	0.3332	0.1581	0.1784	0.0142	0.0682	0.0697	0.0528	0.0095	0.252	0.2444	0.0139	0.1512	0.1293
CATSPERE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DESI2	0.0623	0.2446	0.0161	0.0363	0.0585	0.0055	0.0507	0.0393	0.0441	0.0067	0.0163	0.0312	0.0233	0.0541	0.0289	3e-04	0.0119	0.0999	0.0552	0.0116	0.013	0.0825	0	0.0012	0.0195
COX20	0.1962	0.1008	0.2322	0.4768	0.502	0.4012	0.4409	0.4656	0.5621	0.1399	0.5295	0.5347	0.7299	0.467	0.4499	0.0467	0.2522	1.0363	0.4269	0.3362	0.6893	0.5333	0.0767	0.3113	0.4073
HNRNPU	3.0813	2.2492	3.7937	2.9015	3.7087	3.6029	3.0393	2.7432	3.4037	3.5043	6.3116	2.8303	2.567	3.006	4.0366	1.873	2.5312	1.8871	2.6307	3.5151	3.5627	3.5238	1.1646	1.6379	3.8805
EFCAB2	1e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4e-04	0	0.0032	0	0	0
SMYD3	1e-04	0	0	0	0	0	0	0.0014	0	0	0	0	0	0	0	0	0	0	0.494	0.1159	0	0	0.0014	0	0
TFB2M	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0026	0	0	0.0019	0	4e-04	0	0.0063	0	0	0.0098
CNST	0	3e-04	0	8e-04	0	9e-04	0	0.0014	0.0084	0.0018	0.0043	7e-04	0.136	0.0055	0.0732	0	0	0	0.1175	0	0.0031	0.1397	0	0.0048	0
SCCPDH	0.0036	0.0526	0.043	7e-04	0.2342	0	0.2175	0.0028	0	0.0127	0.0097	4e-04	0	0	0.016	8e-04	0.0415	0.0778	0.0624	0.0112	0	0.0413	0.0014	0.0012	0
AHCTF1	0.0329	8e-04	0.0013	0.0267	0.0046	0.009	0.0019	0.0152	0.0216	0.1083	0.0427	0.0152	0.0045	0.0153	0.1874	0.0574	0.003	0.0228	0.0096	0.0157	0.013	0.0794	0.0014	0	0.0195
ZNF670	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6e-04	0	0	2e-04	0	0	0	0.0032	0	0	0.0024
ZNF124	0	0	0	0	0	0	0	0	0	0.0039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2e-04	0	0	0	0	0	0	0
NLRP3	0	0	0	0.0083	0	0.0169	0	0.019	0.0283	2.0461	0.0066	0.0226	0.004	4e-04	0	0.1363	0	0	0.1295	0	0.0019	0	0.0042	8e-04	0
TRIM58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0024
SH3BP5L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF672	1e-04	0	0	0	0.0023	0	0	0	0	0	0	0	0	0	0	0	0	9e-04	0	0	0	0	0	4e-04	0.0537
ZNF692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PGBD2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM110C	0	0	0.8474	0.0156	0.9259	0.031	0.5329	0.025	0.0317	0.0018	0.8629	0.0192	0.003	0.0102	0.0013	0.0328	0.1721	0.0113	0.024	0.1362	0.0124	0.0317	0.0028	0	0
SH3YL1	0	3e-04	0	0.0023	0	0.0457	2e-04	3e-04	0.0413	0	8e-04	0.0024	0.0263	0.0852	0	0.0014	0.003	0.2666	0	4e-04	0.446	0	0	0	0.0024
ACP1	0.0508	0.0365	0.1337	0.1682	0.3222	0.0867	0.4287	0.2151	0.2014	0.0623	0.0544	0.0927	0.1882	0.3379	0.1175	0.0158	0.1513	1.0245	0.2086	0.0969	0.2508	0.1778	0.795	0.0742	0.439
ALKAL2	0.1098	8e-04	1e-04	0	6e-04	0	3e-04	0	0	0	0	1e-04	0	0	0.0013	0	0	0	0	0.0153	0	0.0159	0	0	0
TMEM18	0.0608	0.0088	0.1731	0.0038	0.4376	0.0051	0.4231	0.0157	0.0109	0.0081	0.1049	0.0055	0.0045	0.066	0.0591	3e-04	0.0772	0.0399	0.0791	0.0551	0.0574	0.1524	0.007	0	0
PXDN	0.1381	0.3376	6e-04	0	0.0134	0	8e-04	0	0	1e-04	0.0062	0	0	0	0.0385	0.0014	0	0.1283	0	0.2667	0	0.0794	0	0	0
EIPR1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7e-04	0	0	0	0	0	0	0.0073
TRAPPC12	6e-04	3e-04	0	0	0	0	0	0	0	1e-04	0	0	0	0	0.0039	0	0	3e-04	0	4e-04	0	0.0032	0	0	0
ADI1	0.5518	1.8819	0.9659	0.1535	1.2868	0.1497	1.3665	0.2159	0.4059	0.1456	0.6807	0.1163	0.1008	0.2139	0.344	0.1144	0.5371	0.6019	0.4676	0.3056	0.5213	0.4127	0.6918	0.0077	0.3878
RNASEH1	0	0	0	0	0	2e-04	0	0.0033	0	0.0011	0	0	0.001	0.0034	0	0	0	0.1043	0.0024	0.0017	0	0.0063	0	0	0.0024
CMPK2	3e-04	0	0	0.0138	6e-04	7e-04	0	0.0036	3e-04	0.025	0.0085	0.0042	0.007	0.003	0.0103	0.0016	0.003	0.0075	0.0048	0.0087	6e-04	0.0032	0.0014	8e-04	0.0049
RSAD2	7e-04	3e-04	1e-04	0.0623	0.0051	0.0156	1e-04	0.0172	0.0017	0.0959	0.0179	0.0271	0.0571	0.0119	0.0591	0.0516	0.003	0.0245	0.0384	0.0658	0.0025	0.0159	0.0307	0.0589	0.0878
RNF144A	0	3e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2e-04	0	0.0021	0	0	0	0	0
ID2	0.703	0.5272	2.4801	2.7762	2.0483	2.4724	2.142	4.0331	3.3872	1.6552	2.4969	1.5959	1.0154	0.167	0.7856	0.6444	1.8338	0.0641	3.1535	1.046	1.2545	0.6222	0.1395	1.9069	2.3415
KIDINS220	0.527	0.6637	0.2124	0.2044	0.1516	0.1514	0.2257	0.1982	0.2399	0.1964	0.4079	0.0767	0.0402	0.0516	0.2169	0.0691	0.1039	0.1432	0.2566	0.2377	0.1748	0.2603	0.0139	0.004	0.0195
MBOAT2	0	3e-04	0	0	0	0	0	0	0	0	0	0	0	0	0.0032	5e-04	0	0.0026	0	4e-04	0	0	0	0	0
ASAP2	0.0952	0.4707	3e-04	0	0.0017	0	1e-04	0	0	0	0.0051	0	0	0	0.0411	5e-04	0.0119	0.0627	0	0.0116	0	0.019	0	0	0.0317
ITGB1BP1	0.7311	0.9725	0.0853	0.1989	0.2263	0.0665	0.2999	0.412	0.2831	0.0536	0.0245	0.0645	0.0874	0.1197	0.4377	0.0243	0.1276	0.3373	0.247	0.1942	0.3156	0.9302	0.0167	0.0847	0.0976
CPSF3	0	0	0	0	0	0	0	0	0	3e-04	0	0	0	0	6e-04	0	0	0.0098	0	0	0	0	0	0	0.0073
IAH1	0.3569	0.4969	0.1931	0.1539	0.4154	0.1312	0.3465	0.214	0.2443	0.0815	0.1919	0.0709	0.2334	0.2654	0.0443	0.0249	0.095	0.1931	0.2542	0.2882	0.1495	0.1016	0.0321	0.15	0.2073
ADAM17	0.3238	0.2687	0.8184	0.1171	0.816	0.2658	0.4966	0.1691	0.1724	0.7107	1.0862	0.0927	0.0427	0.3017	0.319	0.3652	0.2344	0.2231	0.2734	0.7284	0.1242	0.2413	0.0377	0.0129	0.0683
YWHAQ	1.2688	1.6111	1.1653	0.9819	1.2527	0.9179	1.1755	1.1546	1.1473	0.497	1.061	1.0366	1.002	0.8513	1.009	0.3674	0.8783	1.2837	1.1607	1.0745	1.0494	1.1492	0.7629	0.9722	0.4878
TAF1B	0	0	0	0	0	0	0	2e-04	0	3e-04	0	0	0.001	0	0.0051	0	0	0.0015	0	0	0	0	0	0	0
GRHL1	0	0	0	0	0	0	0	0	0	0	4e-04	0	0	0	0	0	0.003	9e-04	0	0	0	0	0	0	0
KLF11	5e-04	0	0	0	2e-04	0	0	0	0	0.0159	0.0012	0	0	0	0.1091	0	0	0.0074	0	8e-04	0	0.1143	0	0	0
CYS1	0.0142	0.0034	0	0	0.0034	0	0.0018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HPCAL1	0	0	0.0727	0.0261	0.3217	0.0274	0.2205	0.0171	0.0311	0.0556	0.0439	0.0296	0.0119	0.0618	0.2202	0.0331	0.0534	0.0101	0.0911	0	0.1235	0.0698	0	0.0036	0.0244
ODC1	0.0574	0.022	1.0385	0.6266	1.2555	0.4576	0.9154	0.4525	0.729	0.0569	0.859	0.6597	0.5457	0.9723	0.6868	0.1191	0.4688	0.983	0.6355	0.3714	0.5411	0.9111	1.2775	0.1883	1.2805
NOL10	1e-04	0	0	0	0	0	0	0	0	3e-04	0	0	0	0	0.0218	0	0	0.0103	0	4e-04	0	0	0	0	0
PDIA6	0.8099	0.8311	0.9992	0.7475	1.211	0.4952	1.2491	0.8776	0.8019	0.7679	0.6659	0.5976	0.9111	0.6617	0.8915	0.2434	0.632	1.9781	0.988	0.8356	0.4812	1.1968	4.5286	0.9802	1.3244
